code,name,net,segment,pos,risk,priority,status
601669,中国电建,水网,水利工程总包,85,负债率80%；净利-26%,A,水利/电力工程总包龙头
600116,三峡水利,水网,水利水电运营,82,来水波动；2026Q1净利高增低基数,A,水利水电运营（重庆）
002131,利欧股份,水网,泵/水务装备,75,2026Q1净利-71%；利润率低,A,泵/水务装备+数字营销
000778,新兴铸管,水网+管网,球墨铸铁管龙头,88,基建需求；原料价格,S,球墨铸铁管全球龙头，水网/管网双卡位
300021,大禹节水,水网,智慧水利,75,负债率71%；农业投资,A,智慧水利/节水灌溉
002457,青龙管业,城市地下管网,混凝土/塑料管,72,2026Q1营收-11%；基建节奏,A,混凝土/塑料管道
002372,伟星新材,城市地下管网,塑料管道龙头,88,地产需求弱,A,塑料管道高端龙头（中报净利+44%）
002641,公元股份,城市地下管网,塑料管道,78,原料价格；地产需求,A,塑料管道龙头之一
603856,东宏股份,城市地下管网,复合管/压力管,75,基建节奏,A,复合管/压力管
002443,金洲管道,城市地下管网,焊管/油气管,72,油价/基建需求,A,焊管/油气管
002352,顺丰控股,物流网,综合物流龙头,92,价格战；资本开支,S,综合物流龙头，时效件+国际业务
601919,中远海控,物流网,海运骨干通道,88,运价周期；2026Q1净利-50%,A,全球海运骨干通道龙头
002010,传化智联,物流网,物流枢纽/平台,75,2026Q1营收-34%；平台盈利兑现,A,物流枢纽+智慧物流平台
688557,兰剑智能,物流网,智能物流装备,80,订单波动/AI落地,A,智能物流装备（净利+95%）
300532,今天国际,物流网,智能物流系统,78,2026Q1净利-26%；项目验收,A,智能物流系统集成商
603871,嘉友国际,物流网,跨境物流,82,地缘；口岸政策,A,跨境物流（中亚/非洲）
600089,特变电工,新型电网,特高压/变压器,90,原料价格；海外,A,变压器/特高压龙头
000400,许继电气,新型电网,特高压/二次设备,85,电网投资节奏；2026Q1净利-47%,A,特高压二次设备核心供应商
600406,国电南瑞,新型电网,电网调度/二次,92,电网投资节奏,S,电网二次/调度龙头
002028,思源电气,新型电网,开关/输配电设备,88,电网投资节奏；海外,A,开关/输配电设备高增长（营收+42%）
300001,特锐德,新型电网,充电网/箱变,82,充电运营盈利；重资产,A,充电网+箱变龙头
300274,阳光电源,新型电网,逆变器/储能龙头,90,储能价格战；2026Q1净利-40%,S,逆变器/储能全球龙头
000063,中兴通讯,新一代通信网,通信主设备,92,运营商资本开支；2026Q1净利-47%,S,通信主设备双雄，5G-A/6G布局
600498,烽火通信,新一代通信网,光通信主设备,85,运营商开支；净利-30%,A,光通信主设备商
000938,紫光股份,新一代通信网,网络设备（新华三）,88,负债率82%；云资本开支,A,新华三网络设备龙头，云资本开支受益
600522,中天科技,新一代通信网,海缆/光纤,85,海风/海缆价格,A,海缆+光纤双主线（净利+46%）
600487,亨通光电,新一代通信网,海缆/光纤,85,海风/海缆价格,A,海缆+光纤双主线（净利+99%）
603236,移远通信,新一代通信网,通信模组,82,行业竞争；净利-33%,A,物联网模组全球龙头
002465,海格通信,新一代通信网,北斗/专网通信,78,2026Q1净利-87%；军品订单,A,北斗/专网通信，军民两用
